Brand,Model,Price,processor_brand,processor_tier,num_cores,num_threads,RAM,primary_storage_type,Storage,gpu_brand,gpu_type,display_size,OS
tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),23990,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
tecno,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),35990,intel,core i7,4,8,16,SSD,1024,intel,integrated,15.6,windows
hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51100,amd,ryzen 5,6,12,8,SSD,512,amd,dedicated,15.6,windows
acer,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),39990,intel,core i5,12,16,8,SSD,512,intel,integrated,14,windows
lenovo,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),28580,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,15.6,windows
apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),70990,apple,m1,8,8,8,SSD,256,apple,apple,13.3,mac
infinix,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),34990,intel,core i5,4,8,16,SSD,512,intel,integrated,15.6,windows
asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),49990,intel,core i5,6,12,8,SSD,512,nvidia,dedicated,15.6,windows
hp,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36990,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
infinix,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),59990,intel,core i9,14,20,32,SSD,1024,intel,integrated,15.6,windows
dell,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),34990,intel,core i3,6,8,8,SSD,512,intel,integrated,15.6,windows
samsung,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64990,intel,core i5,12,16,16,SSD,512,intel,integrated,13.3,windows
msi,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),52990,intel,core i5,8,12,16,SSD,512,nvidia,dedicated,15.6,windows
asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),57390,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,16,windows
lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),47490,intel,core i5,4,8,16,SSD,512,intel,integrated,15.6,windows
hp,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),153990,intel,core i7,20,28,16,SSD,1024,nvidia,dedicated,16.1,windows
